season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2021:2022,Colorado Avalanche,82,4967.6167,5159,4593,52.9,3820,3509,52.12,2874,2627,52.25,259.97,233.75,52.66,2580,2196,54.02,1569,1365,53.48,238,182,56.67,15.17,86.67,962,998,49.08,714,731,49.41,141,126,52.81,19.75,82.76,1618,1198,57.46,855,634,57.42,97,56,63.4,11.35,91.17,2297,2085,52.42,1157,1117,50.88,61,41,59.8,5.27,96.33,10.72,91.17,1.019,1,5
2021:2022,Dallas Stars,82,4990.7333,4633,4695,49.67,3483,3525,49.7,2486,2546,49.4,248.6,225.85,52.4,2438,2229,52.24,1423,1361,51.11,198,187,51.43,13.91,86.26,1061,884,54.55,753,650,53.67,150,109,57.92,19.92,83.23,1377,1345,50.59,670,711,48.52,48,78,38.1,7.16,89.03,1902,2104,47.48,912,1036,46.82,24,48,33.33,2.63,95.37,9.37,90.42,0.998,1,1
2021:2022,Detroit Red Wings,82,4982.0833,4200,4809,46.62,3194,3718,46.21,2415,2762,46.65,224.27,265.39,45.8,2130,2557,45.44,1307,1574,45.37,183,246,42.66,14.0,84.37,875,1090,44.53,666,800,45.43,109,154,41.44,16.37,80.75,1255,1467,46.11,641,774,45.3,74,92,44.58,11.54,88.11,1839,2088,46.83,972,1074,47.51,39,47,45.35,4.01,95.62,9.4,88.78,0.982,0,0
2021:2022,Edmonton Oilers,82,4979.2167,4961,4571,52.05,3764,3553,51.44,2791,2647,51.32,273.64,241.95,53.07,2476,2397,50.81,1520,1463,50.96,234,196,54.42,15.39,86.6,1075,950,53.09,802,703,53.29,159,126,55.79,19.83,82.08,1401,1447,49.19,718,760,48.58,75,70,51.72,10.45,90.79,2224,1962,53.13,1148,1051,52.21,48,49,49.48,4.18,95.34,10.21,90.52,1.007,1,3
2021:2022,Calgary Flames,82,4966.2167,5228,4233,55.26,4022,3277,55.1,2909,2375,55.05,273.17,213.12,56.17,2625,2075,55.85,1621,1261,56.25,238,174,57.77,14.68,86.2,1019,793,56.24,764,591,56.38,142,100,58.68,18.59,83.08,1606,1282,55.61,857,670,56.12,96,74,56.47,11.2,88.96,2359,1963,54.58,1143,972,54.04,42,25,62.69,3.67,97.43,10.0,91.33,1.013,1,2
2022:2023,Ottawa Senators,82,4965.2667,5097,4802,51.49,3836,3548,51.95,2746,2572,51.64,287.69,261.67,52.37,2664,2559,51.01,1509,1458,50.86,221,224,49.66,14.65,84.64,1147,1029,52.71,800,700,53.33,145,135,51.79,18.13,80.71,1517,1530,49.79,709,758,48.33,76,89,46.06,10.72,88.26,2043,1925,51.49,1041,957,52.1,32,41,43.84,3.07,95.72,9.43,89.5,0.989,0,0
2022:2023,New Jersey Devils,82,4987.8333,5274,4552,53.67,3898,3332,53.91,2822,2315,54.93,295.07,232.77,55.9,2733,2233,55.03,1620,1212,57.2,229,181,55.85,14.14,85.07,1134,887,56.11,821,592,58.1,149,118,55.81,18.15,80.07,1599,1346,54.3,799,620,56.31,80,63,55.94,10.01,89.84,2867,2569,52.74,1069,965,52.56,55,37,59.78,5.14,96.17,10.24,90.41,1.007,1,2
2022:2023,Nashville Predators,82,4990.35,4671,5159,47.52,3448,3837,47.33,2419,2729,46.99,248.86,283.91,46.71,2428,2770,46.71,1336,1609,45.37,175,201,46.54,13.1,87.51,996,1085,47.86,679,764,47.05,117,118,49.79,17.23,84.55,1432,1685,45.94,657,845,43.74,58,83,41.13,8.83,90.18,1999,2136,48.34,970,980,49.74,42,32,56.76,4.33,96.73,9.22,91.35,1.006,0,0
2022:2023,New York Islanders,82,4973.25,4863,4941,49.6,3540,3618,49.46,2525,2545,49.8,250.44,266.02,48.49,2519,2505,50.14,1437,1418,50.33,192,176,52.17,13.36,87.59,1063,1104,49.05,731,779,48.41,117,117,50.0,16.01,84.98,1456,1401,50.96,706,639,52.49,75,59,55.97,10.62,90.77,2020,2113,48.87,955,981,49.33,42,34,55.26,4.4,96.53,9.58,91.47,1.011,1,1
2022:2023,New York Rangers,82,4989.9667,4812,4552,51.39,3632,3347,52.04,2583,2405,51.78,266.13,242.77,52.29,2557,2403,51.55,1415,1375,50.72,218,176,55.33,15.41,87.2,1084,1034,51.18,729,728,50.03,141,115,55.08,19.34,84.2,1473,1369,51.83,686,647,51.46,77,61,55.8,11.22,90.57,2025,1887,51.76,1054,909,53.69,49,38,56.32,4.65,95.82,10.57,91.02,1.016,1,1
2022:2023,Philadelphia Flyers,82,4972.9833,4463,5076,46.79,3349,3665,47.75,2416,2586,48.3,224.23,262.3,46.09,2130,2584,45.18,1223,1421,46.26,179,223,44.53,14.64,84.31,933,1090,46.12,631,726,46.5,122,131,48.22,19.33,81.96,1197,1494,44.48,592,695,46.0,57,92,38.26,9.63,86.76,2023,2236,47.5,1048,1018,50.73,38,43,46.91,3.63,95.78,9.11,89.33,0.984,0,0
